Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
29,1001.614243,2480.550171,803.6334,34.0695,939.9985714,1072.1214,1546.086986,8.1,3.64,0.56,14.2,1.512,1.517,378,126,66.01,283.29
29,999.1879714,2479.8528,802.6309286,33.98232857,941.2916143,1072.077814,1548.193629,8.1,3.64,0.56,14,1.52,1.517,383,131,73.01,76.18
30,1201.193229,3264.119614,1050.139671,1545.9417,1266.4701,1108.457357,863.8107429,8.2,3.76,0.57,14.2,1.52,1.371,604,197,79.01,160.23
30,1198.694314,3264.962271,1049.718343,1524.947914,1268.257114,1108.922271,873.0654429,8.2,3.76,0.58,14.2,1.68,1.311,603,204,93.01,253.51
30,1196.471443,3272.764114,1036.613571,1524.555643,1252.697014,1105.130314,863.8979143,8.2,3.76,0.57,14.2,1.632,1.32,601,199,86.01,99.97
31,1196.791071,2335.467857,851.5922143,-711.3333857,1680.330986,1133.955,777.5255571,8,3.7,0.54,12.8,0.472,0.771,366,145,43,319.75
31,1197.401271,2339.143586,846.2747571,-707.1491571,1679.415686,1134.507086,777.6127286,8,3.71,0.53,12.8,0.528,0.763,354,156,57.01,365.3
31,1198.272986,2344.039714,849.2385857,-710.9992286,1672.892357,1133.591786,778.1067,7.9,3.69,0.54,12.8,0.512,0.797,356,148,52.01,268.91
32,841.9307143,1922.4351,792.1703571,673.1813571,901.4252143,1062.692357,1570.524043,8.5,3.21,0.75,14.2,1.384,0.806,631,190,74.01,118.09
32,839.9838857,1909.838829,792.2865857,674.271,906.5683286,1062.518014,1573.981843,8.5,3.22,0.75,14.8,1.416,0.857,677,180,61.01,79.47
32,836.7730714,1898.956929,794.8000286,677.6706857,909.7355571,1063.258971,1569.971957,8.5,3.22,0.75,14.2,1.536,0.831,648,184,69.01,205.16
33,980.4897,2456.025943,797.5168714,17.84108571,920.0363143,1066.077514,1528.710814,8,3.61,0.55,14,1.088,1.209,394,151,79.01,88.77
33,981.1725429,2456.534443,802.6890429,25.33782857,929.2619571,1067.472257,1529.960271,8,3.61,0.54,14,1.176,1.191,388,154,90.01,307.38
33,981.7682143,2459.352986,795.7153286,11.63738571,916.2879429,1063.898229,1516.201714,8,3.6,0.55,14,1.152,1.217,384,159,82.01,95.3
34,965.3218714,2332.721957,644.6327143,-287.4768429,701.8607571,1087.056771,1581.086314,8.2,3.69,0.53,12.4,0.936,0.934,465,211,61.01,243.28
34,966.0192429,2331.443443,652.2311571,-281.7380571,706.6987714,1091.589686,1587.566057,8.2,3.68,0.44,12.92,0.888,0.977,472,186,88.01,127.25
34,967.2977571,2333.172343,654.2506286,-280.9535143,706.2774429,1090.340229,1589.919686,8.2,3.69,0.45,12.92,0.808,1.046,488,193,74.01,236.07
35,951.4470857,2324.0484,656.3282143,-290.3244429,693.1872,1084.761257,1580.287243,8.2,3.72,0.6,12.92,0.712,1.071,360,165,98.01,221.17
35,952.4786143,2324.978229,656.9674714,-287.8981714,695.5553571,1087.943014,1579.764214,8.2,3.71,0.59,13.2,0.816,1.063,369,136,118.01,264.37
35,955.0937571,2327.578843,663.3455143,-286.1838,697.2552,1137.8196,1581.0282,8.2,3.72,0.61,13.4,0.736,1.089,373,158,122.01,125.38
36,785.0077714,2642.965071,750.8656286,1187.594486,1245.127629,1042.846329,-586.9252286,8.3,3.46,0.62,13.2,1.088,1.286,430,151,103.01,2.66
36,785.6760857,2637.153643,753.8875714,1190.354914,1249.965643,1041.451586,-583.2930857,8.4,3.47,0.62,13.7,1.056,1.303,437,137,106.01,4.47
36,781.7824286,2638.374043,739.8965571,1172.949686,1232.269843,1038.923614,-586.6056,8.3,3.46,0.62,13.7,1.032,1.311,418,165,109.01,6.28
37,916.1571857,2225.995071,760.6288286,559.4371714,888.8434714,1037.34,1548.760243,7,3.76,0.5,12,0.328,0.951,87,124,49,204.41
