Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
LE-09,765.176271428571,2421.2736,752.928685714286,799.885028571429,932.676171428572,1069.7823,-123.478328571429,8.3,3.52,0.62,14.8,1.088,0.9,601,190,58.01,243.92
MC-10,1223.49458571429,3106.13592857143,1078.79001428571,1317.81407142857,1279.35694285714,1162.34382857143,918.1476,8.8,3.6,0.55,16,1.344,1.191,336,141,114.01,314.90
MC-10,1223.40741428571,3105.8163,1079.41474285714,1325.06382857143,1281.20207142857,1164.53764285714,925.542642857143,8.8,3.59,0.55,16,1.448,1.226,344,152,119.01,65.07
MC-10,1222.41947142857,3104.53778571429,1081.3761,1331.34017142857,1285.9965,1167.26901428571,931.557471428572,8.8,3.6,0.55,16,1.368,1.217,346,157,111.01,166.00
Mm-11,1152.01401428571,3217.90422857143,1043.20954285714,1534.08638571429,1245.78141428571,1107.73092857143,857.243828571429,8.3,3.5,0.59,13,0.432,1.26,148,93,76.01,501.19
Mm-11,1148.96301428571,3205.70022857143,1037.4417,1533.67958571429,1241.97492857143,1106.84468571429,856.343057142857,8.3,3.49,0.6,13.6,0.488,1.234,155,95,77.01,601.28
Mm-11,1148.64338571429,3198.68292857143,1036.4247,1536.59982857143,1245.09857142857,1106.75751428571,854.933785714286,8.3,3.5,0.61,13.6,0.416,1.286,155,87,82.01,464.24
MW-08,1181.92834285714,1893.79928571429,649.122042857143,756.604414285714,1032.67632857143,1118.91792857143,1399.31935714286,8.7,3.8,0.6,14,1.016,0.9,466,183,54.01,27.26
MW-08,1187.98675714286,1893.9591,652.739657142857,762.996985714286,1041.04478571429,1119.5136,1404.91285714286,8.7,3.79,0.6,13.7,0.984,0.943,474,188,55.01,53.12
MW-08,1191.43002857143,1895.97857142857,654.715542857143,764.798528571429,1045.62128571429,1119.19397142857,1411.30542857143,8.6,3.78,0.59,13.7,1.008,0.969,473,184,47.00,1.41
NR-09,1146.7692,1891.0098,643.107214285714,749.964857142857,1011.39197142857,1122.79705714286,1395.35305714286,9.5,3.65,0.61,16,1.896,1.217,623,197,54.01,268.31
NR-09,1147.26317142857,1884.45741428571,650.545842857143,761.950928571429,1026.13847142857,1127.0394,1395.99231428571,9.4,3.64,0.6,16,1.848,1.243,630,214,72.01,300.17
NR-09,1146.95807142857,1884.34118571429,652.318328571429,763.0551,1028.44851428571,1126.48731428571,1396.32647142857,9.4,3.64,0.61,15.7,1.664,1.311,641,199,87.01,214.41
OV-11,933.213728571428,2319.79152857143,766.832528571429,-60.5260285714286,867.849685714286,1049.6457,1583.59975714286,8,3.6,0.59,11.6,0.256,0.917,145,97,101.01,164.59
OV-11,932.095028571429,2321.97081428571,767.907642857143,-63.8094857142857,865.452471428572,1049.41324285714,1597.85228571429,8,3.61,0.59,11.8,0.28,0.926,155,100,95.01,134.95
OV-11,933.5043,2318.26602857143,763.6653,-60.2790428571429,869.360657142857,1049.92174285714,1572.76144285714,8,3.6,0.6,11.8,0.24,0.926,150,103,97.01,85.62
PdO-07,1189.41055714286,1921.40357142857,651.344914285714,773.5302,1049.02097142857,1129.04434285714,1413.39754285714,8.6,3.67,0.63,14,1.216,1.149,377,152,76.01,6.37
PdO-07,1188.71318571429,1918.86107142857,653.378914285714,779.762957142857,1055.39901428571,1129.65454285714,1414.1385,8.5,3.68,0.61,14.4,1.24,1.174,387,149,76.01,1.96
PdO-07,1186.60654285714,1923.26322857143,640.550185714286,762.706414285714,1038.77832857143,1125.4122,1411.10202857143,8.6,3.68,0.63,14.4,1.296,1.174,391,155,83.01,80.41
PG,1160.32435714286,2307.50035714286,827.983285714286,-854.570571428571,2524.12135714286,1128.18715714286,756.604414285714,8.3,3.61,0.59,12.2,0.448,0.943,316,142,60.01,74.52
PG,1162.2276,2303.22895714286,837.1944,-830.118985714286,9534.43311428571,1147.51015714286,760.599771428572,8.3,3.61,0.59,12.2,0.48,0.943,321,150,53.01,91.08
PG,1165.81615714286,2302.82215714286,844.298871428571,-832.588842857143,2390.28415714286,1137.76148571429,753.146614285714,8.3,3.61,0.59,12.8,0.376,1.011,314,151,55.01,65.25
QO,768.895585714286,2392.50702857143,756.648,784.760785714286,914.3847,1053.29237142857,-137.759914285714,8.3,3.56,0.61,11.8,0.056,0.831,145,95,107.01,369.92
QO,770.464671428571,2388.17751428571,757.9701,784.4121,914.631685714286,1051.3746,-155.717228571429,8.3,3.56,0.6,11.8,0.024,0.874,141,98,104.01,181.63
QO,771.932057142857,2390.02264285714,756.5463,784.353985714286,911.057657142857,1050.79345714286,-162.1098,8.3,3.56,0.6,11.3,0.12,0.763,140,98,93.01,188.76
RD-09,977.293414285714,2380.1868,667.471628571428,-252.637328571429,719.643728571429,1157.98525714286,1608.70512857143,8.9,3.58,0.48,12.72,1.008,1.131,373,133,62.01,55.15
RD-09,976.712271428571,2372.4576,664.522328571429,-247.8429,724.830428571429,1165.87427142857,1610.55025714286,8.9,3.57,0.47,13.2,1.048,1.131,370,138,75.01,12.22
RD-09,972.905785714286,2369.17414285714,660.788485714286,-247.479685714286,724.452685714286,1153.04554285714,1608.63248571429,8.9,3.57,0.49,13.2,1.072,1.114,383,143,74.01,45.00
RG,1247.10351428571,1987.45045714286,827.184214285714,878.5863,1136.32315714286,1118.33678571429,1467.71987142857,7.8,3.56,0.53,12.2,0.36,0.814,274,141,47.00,159.46
RG,1243.95081428571,1986.12835714286,817.493657142857,881.346728571428,1138.92377142857,1119.15038571429,1464.0732,7.9,3.56,0.54,12.2,0.32,0.866,280,147,42.00,207.35
RG,1244.56101428571,1985.3874,817.391957142857,883.511485714286,1141.11758571429,1118.26414285714,1460.54275714286,7.7,3.56,0.53,12.2,0.312,0.874,283,149,49.00,334.01
RV-10,1161.67551428571,2229.52551428571,827.925171428572,-86.2706571428571,1232.24078571429,1129.65454285714,728.607857142857,7.6,3.56,0.54,13,0.664,0.857,493,174,116.01,277.25
RV-10,1162.40194285714,2223.6705,829.203685714286,-87.0116142857143,1242.3672,1129.61095714286,730.351285714286,7.7,3.57,0.54,13.6,0.72,0.857,456,173,89.01,223.81
RV-10,1164.84274285714,2222.92954285714,835.683428571429,-70.1875285714286,1279.76374285714,1125.57201428571,732.675857142857,7.6,3.57,0.54,13.6,0.704,0.874,494,182,87.01,158.48
